x,y,z
1.005,21.464,0.01
41.447,31.89,0.002
0.235,46.338,0.008
33.891,28.624,-0.012
13.5,6.35,0.021
36.76,39.429,-0.01
48.109,38.733,-0.005
12.438,20.23,0.024
28.808,26.97,-0.003
29.602,21.244,-0.002
28.613,11.212,0.011
11.154,38.146,0.033
47.637,37.222,-0.011
22.356,32.353,0.003
42.32,22.782,0.008
34.974,23.24,-0.006
14.872,14.922,-0.011
40.69,13.286,0.021
19.825,42.449,-0.008
44.055,42.969,0.028
29.064,0.767,-0.026
44.087,35.98,0.006
34.627,16.496,0.012
36.263,45.967,0.009
25.066,12.106,-0.018
47.804,16.77,-0.027
32.2,37.367,-0.016
21.193,3.705,0.021
30.32,35.402,0.026
0.96,33.734,-0.012
15.079,15.201,0.04
33.009,35.638,-0.004
14.504,45.146,0.016
30.901,40.197,-0.0
21.438,25.892,-0.004
6.774,6.622,0.019
14.914,44.617,0.025
28.498,24.486,0.023
29.544,20.394,0.0
28.716,27.388,0.006
32.66,10.677,0.007
32.605,16.81,0.042
21.571,36.775,-0.016
44.827,28.174,-0.001
18.378,38.114,-0.018
21.793,38.098,-0.001
44.596,37.679,-0.009
40.31,7.209,0.014
35.194,32.51,-0.02
5.011,24.009,0.037
45.974,3.105,0.013
35.712,41.753,-0.029
49.942,10.986,-0.015
7.472,0.647,-0.012
43.406,32.172,-0.032
8.125,8.605,0.027
30.778,3.085,-0.014
6.191,46.689,-0.011
42.4,7.424,-0.022
40.366,26.002,0.001
28.455,18.365,-0.004
20.359,2.237,0.002
3.458,15.718,0.011
34.871,17.524,-0.011
22.677,24.672,-0.006
36.103,35.337,-0.019
43.319,49.999,-0.049
48.776,25.929,-0.002
42.79,47.138,-0.029
0.586,26.373,0.02
17.999,29.684,0.004
36.5,6.953,0.007
8.581,28.541,-0.006
26.052,13.028,-0.027
2.717,13.702,0.02
10.0,21.694,0.006
0.926,32.687,-0.022
39.685,30.866,0.022
11.196,15.314,-0.014
17.268,1.438,0.018
46.404,12.202,0.013
35.221,22.642,-0.002
1.592,45.476,0.021
8.235,30.518,0.013
31.074,43.875,-0.037
28.861,29.701,0.018
11.895,22.158,0.045
46.711,16.429,0.02
30.698,48.505,0.002
26.782,23.912,0.001
29.495,17.962,-0.013
36.506,45.386,-0.01
15.597,40.593,-0.002
19.911,29.437,-0.012
10.492,28.303,0.001
9.31,24.868,0.041
47.219,4.816,-0.019
36.978,34.375,0.024
24.523,18.777,-0.003
11.371,0.851,-0.001
12.718,36.303,-0.002
2.901,6.465,0.034
21.721,39.896,-0.008
15.59,12.978,0.021
34.817,29.32,0.025
18.888,28.488,-0.022
8.98,8.844,0.007
1.234,21.952,0.007
3.362,40.952,0.006
33.97,48.599,-0.016
22.685,0.908,0.005
26.829,7.333,-0.001
44.834,30.872,-0.024
49.517,0.126,-0.015
10.845,37.9,-0.013
33.154,29.151,0.011
13.166,33.643,0.035
1.033,31.212,-0.001
37.919,29.951,-0.026
16.001,5.121,-0.013
19.173,11.761,-0.001
29.416,23.196,-0.012
41.552,16.72,0.008
31.449,39.153,-0.004
43.633,33.764,-0.023
13.677,15.574,0.026
39.902,47.554,0.014
9.282,32.212,-0.0
47.64,42.331,0.003
34.374,45.229,0.001
10.775,9.882,0.004
47.369,19.887,-0.023
36.543,3.048,0.027
12.697,7.391,0.021
10.666,29.373,-0.031
25.91,25.857,-0.034
1.283,21.876,0.023
10.374,35.848,-0.006
21.234,13.295,-0.003
18.708,20.722,0.0
23.179,46.911,0.012
13.881,28.355,0.058
29.339,34.072,0.001
43.193,37.275,-0.008
5.877,22.336,-0.008
25.869,21.54,-0.002
6.603,23.51,-0.014
35.843,43.101,0.003
19.803,18.181,-0.001
28.271,44.264,-0.011
9.164,2.046,-0.015
7.242,12.642,0.002
24.403,44.869,-0.012
17.781,46.639,-0.04
47.022,10.384,-0.011
38.266,10.858,-0.002
37.433,37.712,-0.025
45.186,18.073,0.018
4.171,10.283,0.016
27.61,11.362,0.016
29.224,15.209,0.003
48.097,41.649,0.016
14.607,22.819,-0.006
12.041,6.354,-0.021
5.015,18.577,0.017
0.821,16.158,0.021
46.476,3.805,-0.026
33.496,41.165,-0.007
39.258,36.568,0.002
14.087,21.778,0.032
29.321,35.077,0.02
3.198,16.935,0.015
24.281,46.792,-0.014
48.875,25.039,-0.001
43.825,5.56,-0.004
16.908,23.759,-0.012
48.079,18.007,-0.013
11.585,1.705,0.037
47.466,17.485,-0.006
47.069,48.817,0.016
39.96,12.982,0.007
31.522,36.2,0.001
43.714,7.707,-0.019
14.651,8.466,0.024
42.447,14.825,-0.003
30.894,0.731,0.013
0.662,24.182,0.023
17.362,48.491,-0.009
7.407,14.077,0.019
49.091,33.491,0.007
23.919,42.214,0.013
24.87,46.973,0.017
31.974,1.266,0.068
18.429,42.256,-0.011
6.845,4.07,-0.046
41.106,15.669,0.025
9.492,37.133,-0.003
25.566,18.412,0.011
11.216,2.826,-0.025
4.892,37.162,0.054
43.11,27.838,0.025
48.646,23.263,0.04
48.042,20.678,-0.025
45.328,31.408,-0.025
38.702,45.852,0.035
16.657,21.023,-0.043
4.055,19.381,0.008
20.362,18.063,0.014
11.612,9.96,-0.017
6.624,41.638,-0.002
2.671,11.508,0.033
36.28,27.721,-0.012
0.571,39.067,0.018
38.529,1.29,0.041
7.347,25.176,0.016
3.976,20.111,0.01
4.48,3.639,0.017
33.602,40.936,-0.005
12.268,20.149,0.016
21.027,18.635,-0.007
27.868,33.671,0.01
43.028,22.174,0.033
36.352,18.604,0.008
13.516,28.122,-0.026
6.574,18.062,0.039
2.769,37.682,-0.001
15.08,37.914,-0.003
13.106,37.752,-0.014
22.807,39.517,-0.028
34.164,27.174,0.007
34.781,41.003,-0.013
14.176,13.424,-0.013
18.996,45.72,-0.053
9.058,20.102,-0.001
39.427,26.511,-0.02
2.842,8.312,0.02
34.85,1.752,-0.008
38.935,4.588,0.026
38.87,0.109,-0.025
12.971,38.531,-0.016
18.691,37.982,-0.002
29.38,20.838,-0.003
13.641,30.432,-0.041
18.543,7.502,0.026
9.853,42.227,-0.011
22.993,31.053,-0.037
2.231,17.618,-0.008
39.99,42.814,0.025
3.848,35.531,-0.04
25.942,20.914,0.023
15.341,18.156,0.007
28.877,10.076,-0.003
47.972,8.739,-0.007
32.279,22.574,0.011
1.768,18.499,0.011
21.52,3.069,0.016
25.501,15.507,-0.02
26.809,6.687,-0.005
34.07,40.104,0.009
13.88,23.911,0.023
6.443,9.207,0.031
19.634,8.072,0.0
47.82,40.932,0.062
9.357,27.839,-0.012
45.199,25.146,0.013
27.19,22.4,0.007
22.846,37.225,-0.011
44.102,27.516,0.027
22.93,5.966,0.017
36.208,3.473,0.044
19.951,13.394,-0.042
45.202,48.663,-0.003
34.501,4.084,-0.004
34.981,26.9,0.007
16.386,46.043,0.035
37.839,3.843,0.004
31.803,9.513,-0.002
12.001,31.049,-0.014
8.027,0.692,-0.029
39.82,46.313,-0.029
47.958,5.368,0.027
22.907,3.021,0.023
29.549,9.611,0.002
42.886,30.517,-0.05
22.861,47.053,0.011
47.594,23.954,-0.035
28.788,26.763,0.014
41.038,22.154,0.023
45.442,26.817,0.002
40.776,13.468,0.021
7.971,34.746,-0.02
31.445,35.496,-0.031
19.922,26.042,-0.016
3.136,42.975,-0.013
21.202,33.04,-0.001
12.934,24.675,0.039
42.452,42.106,-0.006
1.665,29.216,-0.044
47.949,3.8,-0.008
17.768,40.13,-0.004
17.835,42.28,0.001
0.816,2.404,0.015
9.262,38.521,-0.004
20.063,49.043,0.0
46.465,39.537,-0.012
4.981,19.894,-0.025
47.265,35.886,0.001
43.474,14.609,-0.004
22.708,32.887,-0.017
16.335,25.876,-0.025
11.637,33.111,0.054
30.723,20.692,0.017
1.654,7.708,0.001
0.78,21.052,-0.008
21.44,23.87,0.034
3.404,33.893,-0.022
12.597,14.226,0.002
11.058,32.283,-0.003
12.66,11.692,-0.004
6.553,38.245,-0.018
0.602,36.106,0.003
5.774,5.887,-0.002
30.924,29.633,-0.054
48.713,4.403,-0.013
49.517,48.456,-0.028
20.453,16.962,0.027
8.148,1.013,0.004
31.938,25.181,0.02
24.515,6.093,-0.007
49.47,32.547,0.021
3.265,36.55,0.015
39.162,42.963,-0.029
14.42,44.432,0.01
12.071,15.472,0.01
33.125,17.888,-0.015
12.303,48.724,0.012
33.293,21.696,-0.019
25.865,20.235,0.007
21.204,46.268,0.004
27.734,9.365,0.041
14.353,23.704,0.036
35.329,24.271,-0.013
20.743,37.126,0.02
18.027,21.771,0.037
41.433,43.161,-0.034
46.248,33.512,-0.001
2.3,46.548,-0.015
11.631,13.101,-0.011
17.426,40.62,-0.005
40.748,5.839,0.018
49.275,40.097,0.022
48.449,42.436,0.028
45.247,20.33,-0.009
14.828,35.001,0.016
49.601,48.435,-0.006
12.471,9.247,0.007
5.295,30.907,-0.054
47.548,2.372,0.007
11.671,16.93,-0.008
34.488,7.059,0.026
2.918,26.839,0.024
36.535,30.161,0.018
44.086,49.47,0.007
13.622,48.34,0.008
18.953,44.133,-0.011
18.715,28.374,0.025
37.439,44.303,0.025
11.89,17.746,-0.005
8.593,10.047,0.014
22.465,26.302,-0.014
15.223,26.56,0.021
41.959,45.504,0.02
11.887,0.287,-0.005
25.119,42.778,0.049
47.129,30.412,-0.004
31.7,46.982,-0.024
43.364,37.261,0.031
47.01,18.313,0.006
37.538,31.74,0.022
34.979,18.486,0.021
48.398,46.078,0.019
49.72,0.984,-0.031
22.591,27.74,-0.007
3.543,25.367,-0.019
14.64,9.507,0.033
7.618,21.407,-0.013
20.874,14.845,0.038
6.564,33.52,0.015
30.206,37.656,-0.03
19.14,38.57,0.005
44.769,19.718,-0.008
48.39,9.569,-0.007
27.344,14.703,0.008
13.741,26.737,-0.009
29.612,30.765,-0.031
44.838,39.744,0.014
20.337,35.987,-0.005
27.604,8.718,-0.022
13.583,37.2,0.031
22.772,5.756,-0.004
20.086,45.888,-0.009
12.421,34.489,0.007
25.293,5.596,-0.013
15.519,41.829,0.014
18.652,33.921,-0.005
26.249,35.595,-0.021
37.53,24.371,-0.027
16.675,30.235,-0.007
46.208,21.406,-0.009
43.116,28.375,0.016
2.435,39.49,0.003
12.682,9.988,0.016
22.307,43.795,-0.006
5.231,15.3,0.027
17.424,7.378,0.003
37.005,31.727,0.009
34.026,26.22,-0.017
31.119,14.577,0.009
35.526,31.409,-0.031
10.246,35.718,-0.007
17.085,13.629,-0.017
33.812,5.832,0.032
43.962,25.515,-0.006
27.184,14.149,0.005
14.135,16.261,0.015
1.512,24.698,-0.012
35.517,36.56,-0.037
0.394,0.748,0.021
18.634,23.911,-0.035
26.527,6.175,0.024
46.106,42.661,0.011
4.475,12.989,-0.011
20.297,20.2,-0.01
1.216,2.371,-0.017
17.131,7.457,0.001
31.112,0.089,-0.011
13.953,18.002,0.012
10.487,40.534,0.006
5.785,28.789,-0.016
28.857,41.995,-0.013
34.764,8.773,-0.019
33.598,33.867,0.01
47.443,37.293,0.054
0.135,17.2,0.002
32.36,5.715,0.01
30.02,37.11,-0.007
29.437,26.074,-0.033
48.139,23.487,-0.024
0.844,41.856,-0.02
34.824,24.645,0.018
40.684,14.749,0.017
25.49,37.422,0.011
16.698,13.492,-0.018
39.542,13.814,-0.014
4.862,10.437,0.018
22.102,5.169,0.023
25.998,40.079,0.006
34.698,35.034,0.013
4.544,19.161,0.031
11.388,36.249,0.019
20.515,48.062,0.034
31.165,23.312,-0.005
44.348,24.414,-0.01
30.941,26.453,0.022
6.673,13.328,-0.001
49.029,12.4,-0.005
43.589,24.419,0.047
25.136,25.037,0.003
46.117,14.464,-0.022
27.069,29.116,-0.007
46.165,38.54,-0.02
41.495,34.479,-0.025
48.414,7.355,-0.007
45.989,32.12,-0.004
1.802,0.171,0.012
8.739,19.635,0.03
19.457,23.051,-0.012
47.607,39.778,-0.033
15.001,44.005,0.008
8.023,35.91,-0.034
44.315,38.763,-0.005
22.32,46.581,-0.014
45.394,24.227,-0.003
8.012,13.986,-0.009
33.056,18.507,0.0
22.013,21.431,0.009
3.824,15.808,-0.025
34.823,15.186,-0.055
12.37,49.134,0.006
1.981,49.616,0.01
2.997,32.146,-0.005
3.054,40.49,-0.015
45.387,36.057,-0.007
36.994,34.106,0.02
44.903,7.325,0.04
33.629,6.836,0.003
26.447,44.292,0.007
15.222,0.713,0.022
49.898,33.988,-0.009
18.109,40.239,-0.016
23.532,35.896,0.027
18.912,7.22,0.002
48.976,32.025,-0.03
8.733,6.174,-0.002
16.399,23.112,-0.026
34.017,32.742,-0.004
3.16,18.594,0.004
30.362,25.862,0.005
23.882,47.348,0.004
14.2,15.519,-0.01
11.921,8.75,0.004
25.726,45.378,-0.005
18.396,24.163,-0.014
22.826,24.818,-0.023
16.874,47.678,-0.006
48.525,13.39,-0.032
6.672,39.824,0.022
4.84,28.008,-0.023
17.17,34.501,0.023
29.551,23.532,-0.02
32.959,19.193,0.001
19.863,7.203,-0.005
49.964,49.375,0.009
17.595,36.36,-0.003
36.07,22.753,0.004
31.879,24.646,-0.014
40.653,0.013,0.0
48.811,1.48,-0.009
44.49,40.379,-0.016
38.228,2.308,-0.004
34.912,38.586,-0.027
16.775,35.668,-0.007
7.384,33.966,0.006
3.132,27.225,-0.023
12.095,17.366,0.039
21.614,48.63,0.017
26.1,45.537,0.027
38.654,23.716,-0.003
47.937,8.771,-0.003
5.866,11.729,-0.013
5.35,0.701,-0.023
29.485,43.614,0.016
37.27,18.171,-0.025
42.408,24.291,-0.018
46.792,26.323,-0.025
49.171,39.657,-0.042
19.99,30.756,-0.01
19.017,3.464,-0.017
7.39,18.855,0.023
34.247,22.813,0.02
32.838,35.912,0.01
43.103,39.202,0.007
4.863,0.258,0.013
24.889,29.933,-0.008
29.054,1.487,-0.011
12.078,41.773,-0.002
8.451,12.002,0.04
42.979,16.657,-0.021
2.927,11.647,0.007
23.531,43.389,0.006
5.792,15.034,-0.024
22.853,37.106,0.005
48.998,30.648,-0.022
21.185,43.136,0.015
42.856,9.888,-0.008
5.866,25.861,0.024
13.563,41.684,-0.003
20.19,30.53,-0.007
19.991,0.613,-0.013
33.569,12.678,0.006
17.236,34.217,0.008
35.688,30.579,-0.011
31.959,44.824,-0.011
19.958,46.276,0.024
21.588,40.016,-0.026
30.726,9.182,0.015
3.502,18.6,-0.002
41.12,48.234,0.009
32.671,24.191,0.023
36.317,16.7,-0.003
26.846,48.1,-0.013
5.524,34.976,-0.012
20.252,34.822,0.019
20.269,20.618,0.015
16.052,4.676,0.022
1.498,49.175,0.019
36.863,4.24,0.008
5.489,33.298,-0.005
30.315,2.555,0.04
35.161,0.716,-0.003
31.739,0.497,0.051
47.957,47.122,-0.001
5.165,23.108,0.017
43.358,30.101,-0.004
1.46,7.066,-0.024
26.746,24.387,0.016
20.212,25.94,-0.004
26.209,7.632,0.011
18.255,22.901,-0.013
9.528,44.326,0.01
0.956,28.76,-0.014
25.907,9.298,0.012
42.139,47.766,0.032
18.661,44.642,0.016
11.143,46.35,-0.014
4.027,39.046,-0.008
4.266,28.068,0.026
11.07,38.788,-0.01
5.001,30.971,0.0
13.252,0.285,-0.006
3.307,5.814,-0.011
3.28,5.477,0.021
42.814,27.693,0.004
8.106,34.787,0.0
27.984,46.968,0.005
38.673,45.061,0.019
22.82,29.892,-0.011
7.668,28.561,-0.06
9.98,3.416,-0.015
21.649,38.561,-0.013
26.412,13.298,0.006
17.472,45.896,0.028
39.074,11.06,-0.034
37.551,34.816,-0.004
46.361,5.615,-0.006
1.448,24.694,0.052
44.785,7.449,-0.041
19.628,42.134,-0.011
43.919,30.7,-0.003
34.539,48.862,-0.014
49.367,7.051,0.001
37.964,42.805,0.023
18.227,36.716,-0.03
25.053,19.361,-0.011
18.819,0.895,-0.005
18.246,36.798,-0.024
13.045,4.907,0.002
24.799,40.447,-0.005
34.087,39.925,0.01
13.867,10.786,0.037
26.219,48.295,-0.028
5.869,39.645,-0.0
7.992,30.229,-0.001
2.34,36.748,-0.001
48.537,23.416,0.004
0.193,4.642,-0.02
8.929,31.847,0.006
30.643,20.811,-0.004
4.068,48.943,0.02
44.095,3.167,-0.023
35.981,8.026,0.001
48.319,45.017,0.003
25.382,24.35,0.023
15.02,9.657,-0.009
27.475,15.633,0.032
46.541,3.815,-0.017
26.038,31.696,0.001
13.36,46.004,-0.042
43.87,28.51,0.019
18.596,32.099,0.005
0.069,14.64,0.016
12.384,35.421,-0.014
15.912,45.758,-0.009
42.939,2.319,0.022
22.925,10.864,0.015
22.229,46.831,0.021
16.805,40.249,-0.023
44.034,3.513,-0.0
47.251,11.647,0.006
49.595,18.26,-0.015
18.837,15.965,-0.021
48.307,2.563,0.023
39.594,8.536,-0.013
33.784,14.118,0.01
12.244,7.657,0.009
10.823,41.373,-0.005
8.302,26.021,0.014
46.138,11.072,-0.02
14.704,42.386,-0.003
22.655,38.033,0.012
24.698,19.314,0.008
38.909,42.06,-0.034
42.212,31.872,-0.019
6.954,31.173,-0.008
21.345,5.196,0.001
42.143,20.41,-0.045
40.902,3.571,0.017
5.121,20.046,-0.011
7.819,2.972,-0.018
15.21,9.644,-0.016
3.768,22.819,0.008
21.233,30.904,-0.0
5.381,9.048,-0.012
28.411,4.12,-0.032
12.328,43.686,-0.013
29.822,4.173,-0.017
5.876,28.436,0.007
48.794,39.563,-0.039
46.628,8.377,0.009
19.59,32.316,0.016
12.109,36.531,-0.025
12.52,35.36,-0.041
24.17,2.585,0.01
2.0,32.079,0.044
31.985,7.856,-0.003
20.415,15.098,-0.002
18.87,46.441,0.015
40.468,2.612,-0.026
35.452,43.086,-0.013
47.717,27.561,0.001
17.597,1.566,-0.038
44.877,37.7,-0.0
38.498,42.875,0.045
17.871,22.878,-0.006
31.083,39.592,-0.009
14.428,45.524,0.012
43.72,28.411,0.006
5.621,45.835,-0.005
10.622,20.849,0.015
9.152,40.593,-0.032
20.151,39.033,0.032
37.262,35.946,-0.025
26.345,20.572,-0.005
24.384,23.411,-0.033
0.027,10.47,0.007
21.27,13.904,0.005
3.178,34.113,-0.036
10.413,16.272,0.02
46.62,36.215,0.019
10.77,31.221,-0.025
42.917,17.823,0.017
40.145,8.381,0.035
7.957,15.988,0.009
30.286,18.261,0.018
5.783,32.289,-0.0
36.394,3.091,0.002
31.873,43.306,0.001
40.597,31.265,-0.015
23.969,2.659,0.002
45.743,12.573,-0.013
2.467,7.53,-0.014
14.644,29.092,-0.013
35.753,28.451,0.002
20.905,18.21,-0.007
8.648,37.989,-0.016
5.361,3.089,0.013
40.867,41.368,0.001
23.657,44.426,-0.016
44.114,9.294,0.004
36.664,47.022,0.033
20.486,36.618,0.031
18.676,44.672,-0.005
25.782,39.574,0.009
44.453,3.396,-0.037
36.864,12.345,0.005
0.258,42.544,0.011
34.708,2.404,-0.016
45.975,35.46,0.015
35.523,34.067,0.011
8.85,22.201,0.002
24.176,28.741,-0.031
7.016,13.027,0.023
17.95,29.533,-0.003
46.856,34.404,-0.032
46.165,19.281,0.023
14.142,7.401,0.001
16.982,47.248,0.013
30.011,49.475,-0.005
48.16,3.496,0.004
7.39,2.783,0.025
12.846,18.134,-0.017
43.678,46.973,0.009
24.595,18.998,0.001
44.948,11.441,-0.002
9.276,48.811,0.006
26.633,11.678,-0.004
16.313,34.234,0.023
15.827,5.585,-0.02
22.344,31.607,-0.027
21.654,7.248,-0.004
17.867,13.935,0.023
45.749,21.825,-0.01
36.587,38.251,-0.001
36.377,27.758,-0.02
14.496,9.004,-0.02
28.885,37.745,0.012
38.959,31.886,0.004
39.78,0.961,0.018
17.227,3.28,0.016
38.544,4.606,-0.03
36.795,12.475,-0.009
7.075,13.836,-0.018
43.297,33.874,-0.021
22.066,32.516,-0.01
24.321,43.6,0.029
22.418,40.766,0.019
28.392,39.428,0.003
31.058,29.445,-0.001
24.909,5.332,0.01
43.339,34.387,0.0
31.387,15.116,-0.018
20.071,39.17,-0.036
20.835,18.334,-0.038
40.542,6.72,0.003
17.41,30.265,-0.004
10.573,44.14,-0.013
2.969,8.793,0.027
43.801,14.721,-0.001
45.927,13.222,-0.012
6.006,39.114,0.002
16.724,7.609,0.035
8.769,22.019,0.023
5.795,18.83,0.0
44.993,38.467,0.008
2.844,21.971,0.022
49.024,12.445,-0.015
4.823,4.031,0.003
43.174,24.291,0.016
28.325,12.451,0.007
18.396,34.275,0.016
17.117,12.004,-0.009
37.868,26.85,-0.008
15.729,31.828,0.014
32.866,45.034,0.011
25.866,45.269,0.025
24.248,33.425,-0.03
45.058,10.671,-0.015
27.732,3.011,0.009
41.343,37.611,-0.028
36.279,17.999,0.005
1.928,6.034,-0.031
38.656,41.762,0.044
10.844,26.853,0.013
45.157,47.451,-0.017
2.146,28.944,0.005
16.654,47.564,-0.009
4.987,27.427,-0.02
23.779,8.599,0.007
41.001,48.198,-0.021
14.909,4.49,-0.033
7.547,9.133,0.006
16.513,49.795,0.004
40.694,38.93,-0.005
7.019,42.041,-0.027
11.368,23.574,-0.012
3.443,18.934,0.015
35.286,13.576,0.039
19.762,2.692,0.02
15.542,2.366,-0.005
35.931,16.399,-0.02
16.799,11.194,0.021
36.389,33.339,0.006
40.76,8.481,-0.024
10.883,45.453,0.016
48.691,48.386,-0.003
8.118,23.745,-0.022
14.542,2.556,0.005
8.99,8.532,-0.021
17.275,13.359,0.031
24.003,43.799,0.035
26.109,44.413,0.034
42.68,48.315,0.008
44.472,13.132,-0.011
11.005,8.791,0.015
31.145,26.241,-0.03
5.575,17.218,0.016
22.948,19.907,-0.003
16.117,22.62,0.004
15.825,3.045,0.025
24.129,16.23,-0.026
36.491,37.161,0.009
3.459,23.933,-0.023
43.959,38.275,-0.051
36.741,33.617,-0.002
8.825,47.058,-0.002
46.958,34.518,0.011
25.316,27.977,-0.001
49.99,7.859,0.015
9.863,46.055,0.044
26.745,49.836,0.004
14.512,42.124,0.024
15.209,4.674,0.001
29.553,5.571,-0.007
46.086,18.246,-0.02
40.263,34.801,0.009
36.197,41.345,0.005
27.959,9.041,-0.024
46.115,31.262,0.002
24.618,7.978,0.017
43.692,5.605,-0.029
41.699,23.549,0.028
10.692,43.052,-0.022
38.561,31.385,0.003
0.609,34.077,-0.02
16.141,19.658,0.001
11.478,13.344,-0.03
25.343,46.605,-0.004
36.843,20.57,-0.001
4.884,25.67,0.019
25.746,3.611,-0.01
46.921,3.458,-0.005
11.432,37.903,0.013
33.857,46.6,-0.034
29.644,31.835,0.015
0.503,45.002,0.0
23.791,38.698,0.018
35.439,6.443,-0.004
2.199,3.333,0.001
43.976,47.104,0.017
26.004,8.08,-0.001
1.533,31.458,0.011
11.221,11.788,-0.006
47.684,25.777,-0.003
29.116,24.376,-0.008
5.374,35.936,-0.025
14.377,41.027,0.031
22.835,49.943,-0.021
1.048,10.426,-0.033
20.581,21.833,-0.018
24.473,18.8,-0.022
12.184,1.69,-0.009
29.432,11.841,-0.03
37.662,27.322,0.005
11.792,43.847,0.056
31.025,15.69,0.001
31.981,35.071,0.018
47.427,47.005,-0.019
38.914,8.968,-0.002
42.417,5.429,0.004
24.521,49.327,0.035
9.267,2.501,0.031
49.791,14.05,0.031
6.468,43.467,0.018
23.573,13.771,-0.036
3.405,8.777,-0.003
47.193,39.092,-0.013
48.246,36.285,0.008
35.969,5.389,0.048
17.5,25.09,-0.001
12.719,44.674,0.011
13.265,21.203,-0.011
6.365,11.109,0.044
26.29,34.719,-0.011
7.091,11.397,-0.011
15.837,45.398,0.012
31.335,20.941,-0.014
36.377,24.389,0.027
1.214,34.725,0.016
21.506,17.976,-0.033
32.606,47.102,-0.01
42.662,13.645,0.014
23.766,48.287,0.017
48.46,19.41,-0.008
13.282,39.015,-0.004
0.675,40.499,-0.012
24.188,31.052,-0.016
12.806,40.594,-0.021
41.186,29.537,-0.016
11.639,30.117,0.007
15.531,7.034,-0.023
39.561,44.523,-0.001
35.757,7.7,0.028
27.903,25.268,0.013
35.247,15.917,0.024
20.932,14.426,-0.0
0.266,8.482,0.016
0.568,27.39,-0.035
25.561,42.227,-0.037
4.165,24.846,-0.01
2.554,17.995,-0.025
48.276,46.356,-0.019
42.95,6.692,0.003
7.601,24.016,-0.001
0.033,38.071,-0.025
47.083,44.896,0.01
13.916,46.389,0.004
9.295,5.6,-0.008
34.575,27.027,-0.014
5.445,10.576,0.03
13.232,8.858,0.021
48.755,43.28,0.006
31.973,18.454,-0.005
26.034,5.303,0.007
19.896,10.913,0.011
38.725,19.045,-0.028
7.048,32.483,-0.018
48.367,31.211,0.013
43.056,46.225,-0.002
30.883,15.765,0.012
2.145,19.856,-0.011
35.043,14.154,0.003
45.664,5.83,-0.007
26.229,48.048,-0.019
17.711,4.802,-0.005
6.014,23.639,0.031
37.745,28.501,0.001
44.251,35.01,-0.013
5.013,13.604,0.009
37.949,25.803,0.004
0.853,19.382,-0.042
48.353,4.848,0.021
30.753,6.025,-0.006
27.622,20.184,0.027
14.797,0.176,0.001
46.465,1.249,0.002
13.295,2.663,0.002
41.407,38.27,-0.004
49.255,44.47,0.011
39.17,45.213,0.016
25.949,0.406,0.038
3.304,32.709,-0.015
23.621,14.321,0.001
21.913,3.494,-0.037
10.14,5.188,-0.029
21.179,3.337,-0.028
17.888,27.513,-0.0
8.184,15.344,-0.019
22.069,8.314,0.006
13.14,7.274,-0.028
26.103,41.971,-0.019
